param_fmriSession,param_experiment_start,param_memory_session_name,p1_fixation_onset,p1_fixation_duration,p2_stimuli_onset,event01_dummy_stimuli,event01_stimuli_filename,event02_isi_onset,event03_last_fixation,event03_fixation_duration,param_end_instruct_onset,param_experimentDuration
4,1605245852.36362,stud1,0,0,1605245857.38218,0,obj040butterfly.png,1605245858.41591,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245859.43296,0,obj076cup.png,1605245860.45001,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245861.48373,0,obj193needle.png,1605245862.50078,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245863.51784,1,obj032boot.png,1605245864.53489,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245865.55194,1,obj333whale.png,1605245866.56899,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245867.58604,1,obj075crown.png,1605245868.60309,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245869.62014,1,obj164lemon.png,1605245870.63719,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245871.65424,1,obj246rockingchair.png,1605245872.67129,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245873.68834,1,obj051car.png,1605245874.70539,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245875.72244,1,obj284spoon.png,1605245876.73949,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245877.75654,1,obj021bed.png,1605245878.79027,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245879.80732,1,obj245rocket.png,1605245880.82437,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245881.85809,1,obj303tiger.png,1605245882.87514,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245883.89219,1,obj045camel.png,1605245884.90924,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245885.94297,1,obj016banjo.png,1605245886.96002,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245887.97707,1,obj073crackers.png,1605245888.99412,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245890.01117,1,obj209paperclip.png,1605245891.02822,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245892.04527,1,obj205pan.png,1605245893.06232,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245894.07937,1,obj012ball.png,1605245895.09642,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245896.11347,1,obj154key.png,1605245897.13052,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245898.14757,1,obj191mushroom.png,1605245899.16462,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245900.18167,1,obj177map.png,1605245901.19872,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245902.21577,1,obj244rock.png,1605245903.23283,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245904.24988,0,obj226plate.png,1605245905.26693,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245906.28398,0,obj335wheelbarrow.png,1605245907.30103,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
4,1605245852.36362,stud1,0,0,1605245908.31808,0,obj340windmill.png,1605245909.33513,1605245910.35218,2.02615642547607,1605245912.38226,60.0186395645142
